title,release_date,rating_count,rating_avg,movieId,movieIdx
b'Cool World',1992-07-10,2,2.00,7228,2460
b'My Dinner with Andre',1981-10-11,3,4.67,5772,2091
b'Cold Mountain',2003-12-24,16,3.38,7162,2450
"b""Monsieur Hulot's Holiday""",1953-02-25,3,3.67,7209,2454
b'The Lord of the Rings: The Return of the King',2003-12-01,177,4.31,7153,2444
b'Zombie Flesh Eaters',1979-08-25,1,4.00,7219,2459
b'My Darling Clementine',1946-10-17,3,4.00,7210,2455
b'Cheaper by the Dozen',2003-12-24,8,2.63,7161,2449
b'Mon Oncle',1958-05-10,1,4.00,7206,2453
b'City Slickers',1991-06-07,28,3.75,4321,1662
b'Win a Date with Tad Hamilton!',2004-01-23,7,2.71,7255,2467
b'Ruby & Quentin',2003-10-22,82,2.98,7229,2461
b'36th Precinct',2004-11-24,22,2.73,7291,2473
b'Werewolves Within',2021-06-25,0,,800497,9565
b'Ichi the Killer',2001-12-22,9,4.11,7235,2463
b'Chitty Chitty Bang Bang',1968-12-17,5,3.60,7247,2465
b'A Boy and His Dog',1975-03-23,2,3.00,7236,2464
b'50 First Dates',2004-02-13,29,3.55,7293,2474
b'The Dreamers',2003-09-01,9,4.00,7265,2471
b'The Perfect Score',2004-01-30,1,2.00,7258,2468
b'Thirteen',2003-08-20,8,4.13,7285,2472
b'10 Things I Hate About You',1999-03-30,58,3.59,2572,965
b'La Strada',1954-09-23,6,3.50,7234,2462
b'Keeping the Faith',2000-04-14,9,4.11,4967,1872
b'The Butterfly Effect',2004-01-17,48,3.69,7254,2466
b'The Girl Next Door',2004-04-09,13,3.46,7346,2485
b'Elite Squad',2007-10-12,6,3.50,7347,2486
b'Flesh + Blood',1985-08-30,2,2.50,7307,2476
b'Paulie',1998-04-17,2,1.50,1806,645
"b""King Solomon's Mines""",1985-11-22,3,3.00,7308,2477
b'One Fine Day',1996-12-20,3,3.33,7300,2475
b'Dirty Dancing: Havana Nights',2004-02-27,4,4.00,7320,2481
b'National Security',2003-01-17,1,1.00,6014,2150
b'Spartan',2004-03-12,7,3.43,7348,2487
b'Lovers of the Arctic Circle',1998-09-04,4,3.50,2585,972
b'Confessions of a Teenage Drama Queen',2004-02-17,3,2.67,7316,2478
b'Starsky & Hutch',2004-03-05,17,2.76,7325,2483
b'Dogville',2003-05-19,9,3.78,7371,2493
b'The Prince & Me',2004-03-28,4,4.00,7375,2497
"b""I'm Not Scared""",2003-02-08,3,3.67,7382,2501
b'The Whole Ten Yards',2004-04-07,3,3.00,7381,2500
b'Scooby-Doo 2: Monsters Unleashed',2004-03-24,2,2.50,7369,2492
b'Ella Enchanted',2004-04-09,6,4.17,7380,2499
b'Jersey Girl',2004-03-25,6,2.33,7366,2491
b'Eternal Sunshine of the Spotless Mind',2004-03-19,107,4.35,7361,2489
b'Taking Lives',2004-03-19,4,3.50,7362,2490
b'Mad Dog and Glory',1993-03-05,1,3.00,7354,2488
b'Home on the Range',2004-04-02,2,2.50,7374,2496
b'City of God',2002-02-05,70,4.46,6016,2151
b'Hellboy',2004-04-02,29,3.55,7373,2495
b'Clueless',1995-07-19,120,3.63,39,20
b'100 Girls',2000-09-01,2,3.50,7541,2516
b'Van Helsing',2004-05-05,16,3.00,7454,2508
b'Like Stars on Earth',2007-12-21,0,,7508,2515
b'13 Going on 30',2004-04-13,18,3.22,7444,2507
b'The Ten Commandments',1956-10-05,13,4.23,7386,2502
b'After Hours',1985-09-13,9,4.11,7419,2504
b'Le Samoura\xc3\xaf',1967-10-25,6,4.00,7587,2523
b'The Punisher',2004-04-15,7,3.00,7439,2506
b'Dark Blue',2002-12-14,1,2.00,6185,2181
b'You Only Live Twice',1967-06-13,11,3.91,7569,2520
b'Never Say Never Again',1983-10-07,8,3.13,7573,2522
b'Kwaidan',1964-12-29,1,5.00,7564,2519
b'Dawn of the Dead',1978-09-02,10,4.00,7387,2503
b'Fail Safe',1964-10-07,5,4.00,7560,2518
b'Kill Bill: Vol. 2',2004-04-16,104,3.86,7438,2505
b'Body Double',1984-10-25,3,3.00,7616,2524
b'The Apartment',1960-06-21,2,2.50,284,104
b'Explorers',1985-07-12,2,3.50,7743,2533
b'Pierrot le Fou',1965-11-05,2,4.00,7748,2534
b'School Ties',1992-09-18,2,4.00,7624,2526
b'The Virgin Suicides',1999-12-31,32,3.56,3556,1381
b'The Miracle Worker',1962-05-23,4,3.75,7619,2525
"b""Look Who's Talking Too""",1990-12-14,3,2.00,7701,2530
b'Kimi',2022-02-10,0,,800510,9566
b'Throne of Blood',1957-01-15,7,4.29,7766,2537
b'Sniper',1993-01-29,2,3.50,7782,2540
b'Nostalgia',1983-05-01,1,1.00,7759,2536
b'Zorba the Greek',1964-12-14,4,4.50,7771,2539
b'Raising Cain',1992-08-07,1,1.00,7636,2527
b'The Best of Youth',2003-06-22,5,3.60,7767,2538
b'Jason and the Argonauts',1963-06-19,4,4.25,7757,2535
b'In a Lonely Place',1950-05-17,4,4.75,6273,2202
b'The Wages of Fear',1953-04-22,2,5.00,7700,2529
"b""Romy and Michele's High School Reunion""",1997-04-25,47,3.30,1513,556
"b'Duck, You Sucker'",1971-10-20,3,4.33,7894,2552
b'Bring Me the Head of Alfredo Garcia',1974-08-01,1,4.00,7895,2553
b'Tremors 2: Aftershocks',1996-04-09,1,3.00,7845,2548
b'Pat Garrett & Billy the Kid',1973-05-23,1,5.00,7889,2551
b'The Warriors',1979-02-09,5,4.40,7802,2543
b'The Killers',1946-08-28,4,4.50,7943,2562
b'Tremors 3: Back to Perfection',2001-10-02,3,2.67,7846,2549
b'Zardoz',1974-02-06,2,3.50,7817,2544
b'Internal Affairs',1990-01-12,3,3.00,7791,2541
b'The Borrowers',1997-12-05,10,2.70,1848,655
b'Zelig',1983-07-15,6,3.83,7934,2558
b'Through a Glass Darkly',1961-06-06,1,3.00,7939,2560
b'Rang De Basanti',2006-01-26,1,4.00,7913,2554
b'The Parallax View',1974-06-14,3,3.67,7792,2542
b'I Walked with a Zombie',1943-04-21,1,3.00,7883,2550
"b'Run, Fatboy, Run'",2007-09-06,1,3.00,7942,2561
b'In the Name of the Father',1993-12-12,1,4.00,7984,2568
b'Alphaville',1965-05-05,0,,8072,2577
b'Band of Outsiders',1964-08-05,0,,8073,2578
b'Suspect Zero',2004-08-27,0,,8080,2581
b'Infernal Affairs',2002-12-12,3,4.33,7981,2565
b'Mean Streets',1973-10-14,7,4.29,8042,2574
b'In China They Eat Dogs',1999-09-10,2,3.00,8117,2582
b'Desperado',1995-08-25,1,4.00,8068,2575
b'Ken Park',2002-08-31,3,4.00,7976,2564
"b'Spring, Summer, Fall, Winter... and Spring'",2003-09-19,7,3.57,8014,2571
b'Sunrise: A Song of Two Humans',1927-11-04,4,3.50,8125,2583
b'Nightbreed',1990-02-16,2,3.50,7951,2563
b'Behind Enemy Lines',2001-11-30,1,4.00,8007,2570
b'Death Race 2000',1975-04-30,3,3.00,7991,2569
b'The Young and the Damned',1950-12-09,36,4.06,800,280
b'Somewhere in Time',1980-10-02,18,3.67,1286,478
b'Barbarella',1968-10-10,1,2.00,8069,2576
b'Safety Last!',1923-04-01,2,3.50,8235,2595
b'Au Revoir les Enfants',1987-10-07,5,4.20,8128,2585
b'Kika',1993-10-29,0,,8223,2594
b'La Dolce Vita',1960-02-05,9,4.22,8154,2586
b'Shock Corridor',1963-09-25,1,5.00,8126,2584
b'The Quiet American',2002-11-22,2,3.00,8198,2590
b'The Pink Panther Strikes Again',1976-12-15,8,3.88,6663,2278
b'Jin-Roh: The Wolf Brigade',1999-11-17,9,3.89,8157,2587
b'3 Women',1977-04-10,1,5.00,8261,2599
b'Gone with the Wind',1939-12-15,1,1.00,770,268
b'Ugetsu',1953-03-26,3,4.33,8199,2591
b'Arizona Dream',1993-01-06,2,4.00,8254,2598
b'High Heels',1991-10-23,1,4.00,8222,2593
"b""The General's Daughter""",1999-06-18,31,3.32,2688,1002
b'Female Agents',2008-02-08,1,3.00,8266,2601
b'American Pie Presents: Beta House',2007-12-10,0,,8277,2603
b'Paris',2008-02-20,0,,8279,2604
b'Raising Helen',2004-05-27,1,3.00,8362,2615
b'The Day After Tomorrow',2004-05-26,25,3.24,8361,2614
b'Mindhunters',2004-05-07,5,3.60,8369,2618
b'They Live',1988-11-23,9,3.89,8337,2608
b'Welcome to the Sticks',2008-02-20,1,2.00,8265,2600
b'Zatoichi',2003-09-06,8,3.88,8370,2619
b'Blindness',2008-05-14,4,3.75,8338,2609
b'Escape from Alcatraz',1979-01-25,3,4.00,8340,2610
b'Point of No Return',1993-03-19,2,3.00,8268,2602
b'The Royal Tenenbaums',2001-10-05,69,3.91,4979,1878
b'Shrek 2',2004-05-19,81,3.83,8360,2613
"b""Don't Look Now... We're Being Shot At!""",1966-12-08,2,2.50,8290,2605
"b""Manitou's Shoe""",2001-07-11,15,3.53,8366,2616
b'Pump Up the Volume',1990-08-22,1,1.00,8428,2627
b'Thelma & Louise',1991-05-24,46,3.63,3418,1313
b'Rocco and His Brothers',1960-10-06,2,2.00,8422,2626
b'Murder in the First',1995-01-20,0,,8438,2628
b'A Man Apart',2003-04-04,1,1.00,8409,2624
b'Dumb and Dumber',1994-12-16,0,,8467,2630
b'The Chronicles of Riddick',2004-06-11,22,3.45,8371,2620
"b""Bill & Ted's Bogus Journey""",1991-07-19,17,3.06,4980,1879
b'How High',2001-12-21,2,2.50,4989,1880
b'My Neighbor Totoro',1988-04-16,2,3.50,8392,2623
b'The Lost Boys',1987-07-31,20,4.05,4128,1598
b'La Jet\xc3\xa9e',1962-02-16,4,4.50,8477,2631
b'Napoleon Dynamite',2004-06-11,46,3.41,8376,2622
b'Two Brothers',2004-04-07,2,2.00,8534,2643
b'Pretty Baby',1978-04-05,4,3.25,8499,2635
b'Memphis Belle',1990-09-07,14,3.86,8493,2634
b'Pirates of Silicon Valley',1999-05-10,5,3.60,8581,2644
b'The Majestic',2001-12-21,10,3.80,4994,1884
b'The Lion King',1994-06-23,1,4.00,8587,2645
b'Operation Petticoat',1959-12-05,6,4.17,4802,1821
"b""Weekend at Bernie's""",1989-07-05,3,3.67,8491,2632
b'The Notebook',2004-06-25,34,3.53,8533,2642
b'DodgeBall: A True Underdog Story',2004-06-18,37,3.49,8528,2639
b'Devil in a Blue Dress',1995-09-15,1,5.00,8512,2637
b'Fritz the Cat',1972-04-12,3,3.67,5002,1885
b'The Lord of the Rings: The Fellowship of the Ring',2001-12-18,202,4.33,4993,1883
b'Flatliners',1990-08-10,20,3.65,3686,1422
"b'I, Robot'",2004-07-15,58,3.48,8644,2664
b'Braveheart',1995-03-14,113,3.09,197,71
b'How the West Was Won',1962-10-01,5,3.40,8661,2666
b'Dick Tracy',1990-04-05,12,3.50,8592,2647
b'Roxanne',1987-06-19,14,3.50,8623,2657
b'Taxi',1998-04-08,1,3.00,8604,2650
b'Sleepover',2004-07-09,3,3.00,8642,2663
b'The Isle',2000-04-22,24,2.83,8653,2665
b'Cannibal Ferox',1981-04-24,15,3.33,8691,2668
b'Unforgiven',1992-08-07,1,5.00,33,17
b'All of Me',1984-09-21,7,3.29,8610,2652
b'Tokyo Godfathers',2003-12-29,3,4.00,8607,2651
b'The Philadelphia Experiment',1984-08-03,1,4.00,8591,2646
b'Anchorman: The Legend of Ron Burgundy',2004-06-28,34,3.74,8641,2662
b'Revenge of the Pink Panther',1978-01-08,4,4.00,8596,2648
b'Glory',1989-12-15,60,3.90,1242,455
b'Angels with Dirty Faces',1938-11-26,4,4.00,8600,2649
b'The Leopard',1963-03-28,2,4.00,8724,2670
b'Yu-Gi-Oh! The Movie',2004-08-13,1,1.00,8811,2684
b'Three Wishes for Cinderella',1973-11-16,1,3.00,8703,2669
b'The Princess Diaries 2: Royal Engagement',2004-08-06,8,3.25,8808,2683
b'Dikkenek',2006-06-21,1,4.00,8736,2671
b'Harold & Kumar Go to White Castle',2004-05-30,22,3.86,8807,2682
b'The Final Countdown',1980-01-31,1,4.00,8738,2672
b'Gun Crazy',1950-01-20,2,4.50,8751,2673
b'Nirvana',1997-01-24,1,4.00,8765,2674
b'Code 46',2003-09-02,4,3.25,8800,2681
b'Little Black Book',2004-08-06,3,3.33,8799,2680
b'The Spy Who Came in from the Cold',1965-12-16,2,4.00,8772,2676
b'The Village',2004-07-30,30,3.23,8783,2677
b'To Be or Not to Be',1942-03-05,43,3.49,198,72
b'Blank Check',1994-02-11,4,2.50,2036,715
b'Timecop',1994-09-15,1,3.00,8831,2688
b'Cannibal Holocaust',1980-02-07,4,3.75,8906,2703
b'The Truth About Cats & Dogs',1996-04-26,4,3.00,8866,2699
b'Asterix vs. Caesar',1985-03-06,133,3.20,8868,2700
b'Casino',1995-11-22,37,3.70,524,206
b'The Front Page',1974-11-01,2,1.00,7093,2422
b'Raging Bull',1980-11-14,51,4.47,1228,444
b'The Shadow',1994-07-01,1,3.00,8850,2694
b'Franklyn',2008-10-16,2,2.50,8884,2702
b'Sweet and Lowdown',1999-12-03,13,3.85,3129,1206
b'Shark Tale',2004-09-20,11,3.00,8907,2704
b'Without a Paddle',2004-08-20,1,1.00,8814,2685
b'Night of the Demons',1988-10-14,2,3.50,8854,2695
b'99 francs',2007-09-26,7,4.57,8827,2686
b'Anacondas: The Hunt for the Blood Orchid',2004-08-26,2,2.50,8830,2687
b'Reservation Road',2007-09-13,2,4.00,8954,2717
b'Amores Perros',2000-06-16,6,3.33,55,27
b'Cecil B. Demented',2000-05-17,3,3.33,3858,1495
b'Saw',2004-10-01,33,3.55,8957,2718
b'Sideways',2004-10-22,46,3.87,8949,2714
b'Raise Your Voice',2004-08-10,2,3.00,8911,2707
b'Crimson Tide',1995-05-12,2,2.50,8963,2720
b'Alfie',2004-10-22,5,2.60,8948,2713
b'I \xe2\x99\xa5 Huckabees',2004-09-10,20,3.80,8910,2706
b'The Party',1968-04-04,1,3.00,5004,1886
b'Ladder 49',2004-10-01,4,3.25,8908,2705
"b""Adam's Rib""",1949-11-18,6,4.00,7121,2431
b'The Grudge',2004-10-22,13,2.92,8947,2712
b'Surviving Christmas',2004-09-21,2,2.00,8946,2711
b'Friday Night Lights',2004-10-08,4,4.50,8937,2710
b'D.A.R.Y.L.',1985-06-14,1,4.00,9004,2734
b'A Shot in the Dark',1964-06-23,6,3.67,7073,2417
b'Bring It On',2000-08-25,20,3.00,3882,1506
b'Amen.',2002-02-13,1,1.00,9045,2743
b'What Happens in Vegas',2008-05-07,0,,9029,2740
b'DOA: Dead or Alive',2006-09-07,0,,9053,2744
b'Living in Oblivion',1995-07-21,1,5.00,9071,2748
b'Free Willy 2: The Adventure Home',1995-07-19,0,,9073,2749
b'Milk Money',1994-08-31,1,4.00,8986,2732
b'Ali',2001-12-10,7,3.14,5009,1888
b'Only You',1994-09-17,1,2.00,9058,2745
b'After the Sunset',2004-11-12,4,2.75,8968,2722
b'Black Book',2006-09-14,2,3.00,9075,2750
b'The Banger Sisters',2002-09-20,1,2.00,9034,2742
b'The War of the Worlds',1953-08-13,2,3.00,8974,2727
b'The 15:17 to Paris',2018-02-02,1,5.00,453201,8250
b'Eraser',1996-06-21,1,4.00,9268,2763
b'Dances with Wolves',1990-03-30,18,4.33,581,223
b'Virtuosity',1995-08-04,1,2.00,9271,2764
b'Snow White: A Tale of Terror',1997-07-18,0,,9092,2753
b'Screamers',1995-09-08,0,,9102,2755
b'The Quest',1996-04-19,0,,9103,2756
b'Broken Arrow',1996-02-09,0,,9208,2758
b'Hot Shots! Part Deux',1993-05-21,0,,9255,2759
b'Sgt. Bilko',1996-03-29,1,1.00,9099,2754
b'Meet the Parents',2000-10-06,88,3.60,3948,1526
b'Desperate Measures',1998-01-30,4,3.75,1598,580
b'I Am Sam',2001-12-28,14,3.79,5014,1891
b'Goodbye Berlin',2016-09-15,1,3.00,384664,7717
b'Now and Then',1995-10-20,1,5.00,9263,2760
b'Last Man Standing',1996-09-20,2,5.00,9333,2777
b'La Femme Nikita',1990-02-21,1,3.00,9322,2776
b'Babe',1995-07-18,148,3.68,34,18
b'Orlando',1992-12-11,0,,9300,2769
b'Bound',1996-09-13,0,,9303,2770
b'Nineteen Eighty-Four',1984-11-09,0,,9314,2771
b'Ong Bak: Muay Thai Warrior',2003-01-21,0,,9316,2772
b'Asterix in Britain',1986-12-03,0,,9318,2774
b'The Last Boy Scout',1991-03-19,0,,9319,2775
b'The Goonies',1985-06-07,0,,9340,2778
"b'Honey, I Shrunk the Kids'",1989-06-23,0,,9354,2781
b'The Last of the Mohicans',1992-08-26,0,,9361,2783
b'The Big Heat',1953-10-14,3,4.67,5017,1894
"b""Monster's Ball""",2001-06-07,28,3.39,5015,1892
b'EuroTrip',2004-02-20,16,3.31,7317,2479
b'One Hour Photo',2002-08-21,3,4.67,9357,2782
b'Holy Man',1998-10-08,5,2.80,2306,819
b'Picture Perfect',1997-08-01,2,2.50,9413,2791
b'Murder at 1600',1997-04-18,1,5.00,9415,2793
b'Asterix Conquers America',1994-09-28,0,,9369,2784
b'The Twelve Tasks of Asterix',1976-06-26,0,,9385,2785
b'Zoolander',2001-09-28,0,,9398,2788
b'Lionheart',1990-06-07,0,,9399,2789
b'The Man Who Knew Too Little',1997-11-14,0,,9414,2792
b'A Civil Action',1998-12-25,0,,9422,2794
b'Disturbing Behavior',1998-07-24,0,,9424,2795
b'Home Alone 3',1997-12-12,11,2.45,1707,616
b'Dragon Ball Z: Battle of Gods',2013-03-30,3,3.33,107953,6080
b'The Servant',1963-11-14,1,4.00,5022,1896
b'Murder by Death',1976-06-23,6,3.50,5021,1895
b'Bordello of Blood',1996-08-16,1,2.00,9431,2798
b'The Way of the Gun',2000-09-08,8,3.38,3896,1509
b'Soldier',1998-10-23,0,,9425,2796
b'The Full Monty',1997-08-13,0,,9427,2797
b'Kiss the Girls',1997-09-29,0,,9437,2799
"b""Dead Men Don't Wear Plaid""",1982-05-21,0,,9442,2800
b'Chariots of Fire',1981-05-15,0,,9443,2801
b'The Crow: Salvation',2000-10-31,0,,9456,2805
b'Vampire Hunter D',1985-12-21,0,,9463,2806
b'The Nightmare Before Christmas',1993-10-09,0,,9479,2807
b'Judge Dredd',1995-06-30,0,,9482,2808
"b""A Bug's Life""",1998-11-25,0,,9487,2809
b'Blue Steel',1990-03-16,0,,9491,2810
b'Orange County',2002-01-10,10,2.90,5025,1897
b'Brassed Off',1996-11-01,1,3.00,9450,2804
b'Anastasia',1997-11-20,1,4.00,9444,2802
b'Apt Pupil',1998-10-23,1,2.00,9445,2803
b'Jules and Jim',1962-01-23,10,3.90,2732,1030
